"","Generation","strategy","zo","ratio","fit_media","fit_sd"
"16411",128,"fit_B",27,3.375,0.0883333333333333,0.883333333333333
"16412",128,"fit_B",28,3.5,0,0
"16413",128,"fit_B",29,3.625,0,0
"16414",128,"fit_B",30,3.75,0,0
"16415",128,"fit_B",31,3.875,0,0
"16416",128,"fit_B",32,4,0,0
"16417",128,"fit_O",1,0.125,3.02985245015532,0.172643098312022
"16418",128,"fit_O",2,0.25,4.18588567753783,0.0448681797371832
"16419",128,"fit_O",3,0.375,4.22641423290479,0.110684225130524
"16420",128,"fit_O",4,0.5,4.54044390010855,0.159846942259929
"16421",128,"fit_O",5,0.625,5.84159046284455,0.0535613304867186
"16422",128,"fit_O",6,0.75,7.57486802838177,0.033172686232514
"16423",128,"fit_O",7,0.875,7.50306842523164,0.0398447342299658
"16424",128,"fit_O",8,1,7.34182162036868,0.0499280949830383
"16425",128,"fit_O",9,1.125,9.34502859160615,0.0494367370109525
"16426",128,"fit_O",10,1.25,10.7833065166763,0.0679331753250905
"16427",128,"fit_O",11,1.375,11.1050157776403,0.0745531720268242
"16428",128,"fit_O",12,1.5,11.2902912952241,0.057777699450318
"16429",128,"fit_O",13,1.625,11.6341766527464,3.45584470988529
"16430",128,"fit_O",14,1.75,5.8917900313848,6.82185433985048
"16431",128,"fit_O",15,1.875,2.64550607030278,5.91999971624394
"16432",128,"fit_O",16,2,1.2907580657925,4.73221431696961
"16433",128,"fit_O",17,2.125,1.42665484326927,4.87609564169297
"16434",128,"fit_O",18,2.25,1.68735854854673,5.11806097200935
"16435",128,"fit_O",19,2.375,2.34603031118356,6.10388097886539
"16436",128,"fit_O",20,2.5,1.59982760892279,5.12239407706323
"16437",128,"fit_O",21,2.625,2.79871467346272,6.29340551740438
"16438",128,"fit_O",22,2.75,3.16281932357242,6.08443073960878
"16439",128,"fit_O",23,2.875,2.54162348268039,5.78648765985918
"16440",128,"fit_O",24,3,2.38943363920169,5.77120516909735
"16441",128,"fit_O",25,3.125,11.2140928443548,3.19155842339788
"16442",128,"fit_O",26,3.25,12.4881111851332,0.338324778168981
"16443",128,"fit_O",27,3.375,11.3857576845729,2.38125830340658
"16444",128,"fit_O",28,3.5,12.0756064338925,0.46351046460985
"16445",128,"fit_O",29,3.625,12.4553665883188,0.221417983757148
"16446",128,"fit_O",30,3.75,12.878521001974,0.207674768505342
"16447",128,"fit_O",31,3.875,13.2212337240227,0.219075215728145
"16448",128,"fit_O",32,4,13.5200431480004,0.238230817833835
"16449",128,"fit_Y",1,0.125,8.55393879690552,0.0588726560815232
"16450",128,"fit_Y",2,0.25,7.87316176404602,0.0868311839901204
"16451",128,"fit_Y",3,0.375,7.75058844760807,0.14458646854911
"16452",128,"fit_Y",4,0.5,7.61640615476686,0.0459269097546056
"16453",128,"fit_Y",5,0.625,8.05043127929323,0.0238276278089035
"16454",128,"fit_Y",6,0.75,8.49706159751899,0.0183789226817172
"16455",128,"fit_Y",7,0.875,8.52215991318255,0.0217120409396295
"16456",128,"fit_Y",8,1,8.63402497056879,0.0375611027263908
"16457",128,"fit_Y",9,1.125,8.87772731838563,0.0516676195764984
"16458",128,"fit_Y",10,1.25,9.25159356957873,0.0948380172466307
"16459",128,"fit_Y",11,1.375,9.48295873362381,0.117461486533137
"16460",128,"fit_Y",12,1.5,9.74302423288087,0.155527365798497
"16461",128,"fit_Y",13,1.625,9.10811521916197,2.53207034326267
"16462",128,"fit_Y",14,1.75,5.07869923515549,4.74292401752765
"16463",128,"fit_Y",15,1.875,5.70763667450864,3.87247986477595
"16464",128,"fit_Y",16,2,7.10353041880453,2.6509045345527
"16465",128,"fit_Y",17,2.125,7.42645493345996,2.21537449694645
"16466",128,"fit_Y",18,2.25,7.19319290993474,2.5548067973598
"16467",128,"fit_Y",19,2.375,7.48521603546111,2.24971821284039
"16468",128,"fit_Y",20,2.5,7.68899518937988,1.80136015960967
"16469",128,"fit_Y",21,2.625,8.09064087354701,0.291831730785865
"16470",128,"fit_Y",22,2.75,8.06773892681351,0.242404096385035
"16471",128,"fit_Y",23,2.875,7.90543149247853,1.16834562749083
"16472",128,"fit_Y",24,3,8.05257082081723,0.221070675744427
"16473",128,"fit_Y",25,3.125,8.21527892445094,0.166986372236968
"16474",128,"fit_Y",26,3.25,10.797327805421,0.279422397406466
"16475",128,"fit_Y",27,3.375,8.56800707106974,0.38970353334171
"16476",128,"fit_Y",28,3.5,9.18092298392563,0.510848449000451
"16477",128,"fit_Y",29,3.625,10.8587799798114,0.44953135693173
"16478",128,"fit_Y",30,3.75,12.2577162393728,0.507683603863956
"16479",128,"fit_Y",31,3.875,13.5769109157338,0.504905465942276
"16480",128,"fit_Y",32,4,14.4312866072252,0.658768247310144
"16481",128,"fit_total",1,0.125,5.551951,0.264827053054051
"16482",128,"fit_total",2,0.25,5.1073825,0.133884338251494
"16483",128,"fit_total",3,0.375,4.7586945,0.207193621188886
"16484",128,"fit_total",4,0.5,4.604086,0.196495436511124
"16485",128,"fit_total",5,0.625,6.3550365,0.0831799302762245
"16486",128,"fit_total",6,0.75,7.341131,0.0528829328313822
"16487",128,"fit_total",7,0.875,7.2060875,0.0676514101979232
"16488",128,"fit_total",8,1,7.170437,0.0737814102329279
"16489",128,"fit_total",9,1.125,8.0620145,0.101796106198229
"16490",128,"fit_total",10,1.25,8.6159465,0.127502280679741
"16491",128,"fit_total",11,1.375,8.7095415,0.163192328445254
"16492",128,"fit_total",12,1.5,8.7781305,0.198874438446534
"16493",128,"fit_total",13,1.625,8.6138955,1.34292246803615
"16494",128,"fit_total",14,1.75,6.6624215,2.50742990634133
"16495",128,"fit_total",15,1.875,6.9119425,2.04886413744441
"16496",128,"fit_total",16,2,7.628897,1.41508776621877
"16497",128,"fit_total",17,2.125,7.7740205,1.1724644798112
"16498",128,"fit_total",18,2.25,7.604566,1.29671789892323
"16499",128,"fit_total",19,2.375,7.795286,1.17535378138592
"16500",128,"fit_total",20,2.5,7.8921545,0.954823112633403
"16501",128,"fit_total",21,2.625,8.0825775,0.31554795705369
"16502",128,"fit_total",22,2.75,8.0889215,0.322852283220292
"16503",128,"fit_total",23,2.875,7.997147,0.656521607067479
"16504",128,"fit_total",24,3,8.0670935,0.283321551506821
"16505",128,"fit_total",25,3.125,8.239224,0.204180894801693
"16506",128,"fit_total",26,3.25,10.9097205,0.268439079210204
"16507",128,"fit_total",27,3.375,8.6057365,0.40817194967039
"16508",128,"fit_total",28,3.5,9.2491,0.520363266469597
"16509",128,"fit_total",29,3.625,10.951566,0.429513138395725
"16510",128,"fit_total",30,3.75,12.3079445,0.470680676507036
"16511",128,"fit_total",31,3.875,13.542739,0.464189908975787
"16512",128,"fit_total",32,4,14.332606,0.606194639970771
"16513",129,"fit_B",1,0.125,6.26020751921929,0.152004508434062
"16514",129,"fit_B",2,0.25,5.01256605580913,0.236336535412282
"16515",129,"fit_B",3,0.375,4.49050452029759,0.189303017935899
"16516",129,"fit_B",4,0.5,4.29233434109905,0.130470451527663
"16517",129,"fit_B",5,0.625,5.63093240156429,0.0954651174842181
"16518",129,"fit_B",6,0.75,6.17451947996115,0.0858210703258654
"16519",129,"fit_B",7,0.875,6.00596199547787,0.0940636772222527
"16520",129,"fit_B",8,1,5.85838807572901,0.102992105914523
"16521",129,"fit_B",9,1.125,6.12523137407395,0.126413255477582
"16522",129,"fit_B",10,1.25,5.99494329096585,0.151537633359725
"16523",129,"fit_B",11,1.375,5.97399722163086,0.173843102664784
"16524",129,"fit_B",12,1.5,5.91969536843242,0.2037194298864
"16525",129,"fit_B",13,1.625,5.5402233677642,0.775571605133105
"16526",129,"fit_B",14,1.75,4.26460857170155,1.70854126771549
"16527",129,"fit_B",15,1.875,2.14127076720068,2.32159099500675
"16528",129,"fit_B",16,2,0.826618195249319,1.73133627997312
"16529",129,"fit_B",17,2.125,0.737060526924985,1.71749257112326
"16530",129,"fit_B",18,2.25,1.01199579747659,2.04321795924977
"16531",129,"fit_B",19,2.375,1.02888278367802,2.05290371004836
"16532",129,"fit_B",20,2.5,0.729384804446291,1.88707232657027
"16533",129,"fit_B",21,2.625,0.732861761172261,1.959841182675
"16534",129,"fit_B",22,2.75,0.486067413246024,1.68391006771038
"16535",129,"fit_B",23,2.875,0.432941227578268,1.5066670385481
"16536",129,"fit_B",24,3,0.33125647204511,1.32273466362184
"16537",129,"fit_B",25,3.125,0.162315034953526,0.928418389802363
"16538",129,"fit_B",26,3.25,0,0
"16539",129,"fit_B",27,3.375,0.0916666666666667,0.916666666666667
"16540",129,"fit_B",28,3.5,0,0
"16541",129,"fit_B",29,3.625,0,0
"16542",129,"fit_B",30,3.75,0,0
"16543",129,"fit_B",31,3.875,0,0
"16544",129,"fit_B",32,4,0,0
"16545",129,"fit_O",1,0.125,3.03177603375345,0.173867887955882
"16546",129,"fit_O",2,0.25,4.18556163894489,0.0444285558340806
"16547",129,"fit_O",3,0.375,4.22684466361269,0.110840124825202
"16548",129,"fit_O",4,0.5,4.54094481826558,0.160621140837133
"16549",129,"fit_O",5,0.625,5.84325105731499,0.0521769707587172
"16550",129,"fit_O",6,0.75,7.57390135183873,0.0313983736438228
"16551",129,"fit_O",7,0.875,7.50224879024582,0.0409645016768873
"16552",129,"fit_O",8,1,7.33312756697451,0.048708788852138
"16553",129,"fit_O",9,1.125,9.34871803416876,0.0462378922918862
"16554",129,"fit_O",10,1.25,10.7878635680698,0.0670255821354778
"16555",129,"fit_O",11,1.375,11.1030304685819,0.0777412532260711
"16556",129,"fit_O",12,1.5,11.2881527771367,0.0523943990597795
