t,pop,y,estrategia,frequencia
100,8,9,Y,0.1506
100,8,9,B,0.8041
100,8,10,O,0.011
100,8,10,Y,0.0465
100,8,10,B,0.9425
100,8,11,O,0.0
100,8,11,Y,0.0458
100,8,11,B,0.9542
100,8,12,O,0.0
100,8,12,Y,0.1657
100,8,12,B,0.8343
100,8,13,O,0.0
100,8,13,Y,0.2002
100,8,13,B,0.7998
100,8,14,O,0.0
100,8,14,Y,0.2543
100,8,14,B,0.7457
100,8,15,O,0.0
100,8,15,Y,0.3028
100,8,15,B,0.6972
100,8,16,O,0.0
100,8,16,Y,0.2852
100,8,16,B,0.7148
100,8,17,O,0.0
100,8,17,Y,0.294
100,8,17,B,0.706
100,8,18,O,0.0
100,8,18,Y,0.2864
100,8,18,B,0.7136
100,8,19,O,0.0
100,8,19,Y,0.3083
100,8,19,B,0.6917
100,8,20,O,0.0
100,8,20,Y,0.2878
100,8,20,B,0.7122
100,8,21,O,0.0
100,8,21,Y,0.2761
100,8,21,B,0.7239
100,8,22,O,0.0
100,8,22,Y,0.2526
100,8,22,B,0.7474
100,8,23,O,0.0
100,8,23,Y,0.2512
100,8,23,B,0.7488
100,9,0,O,0.1032
100,9,0,Y,0.8968
100,9,0,B,0.0
100,9,1,O,0.1652
100,9,1,Y,0.7069
100,9,1,B,0.1279
100,9,2,O,0.2904
100,9,2,Y,0.5357
100,9,2,B,0.1739
100,9,3,O,0.1273
100,9,3,Y,0.4976
100,9,3,B,0.3751
100,9,4,O,0.1268
100,9,4,Y,0.5262
100,9,4,B,0.347
100,9,5,O,0.207
100,9,5,Y,0.4792
100,9,5,B,0.3138
100,9,6,O,0.1987
100,9,6,Y,0.485
100,9,6,B,0.3163
100,9,7,O,0.3871
100,9,7,Y,0.3767
100,9,7,B,0.2362
100,9,8,O,0.1411
100,9,8,Y,0.3443
100,9,8,B,0.5146
100,9,9,O,0.034
100,9,9,Y,0.1188
100,9,9,B,0.8472
100,9,10,O,0.0163
100,9,10,Y,0.0412
100,9,10,B,0.9425
100,9,11,O,0.0
100,9,11,Y,0.0456
100,9,11,B,0.9544
100,9,12,O,0.0
100,9,12,Y,0.1622
100,9,12,B,0.8378
100,9,13,O,0.0
100,9,13,Y,0.2101
100,9,13,B,0.7899
100,9,14,O,0.0
100,9,14,Y,0.2446
100,9,14,B,0.7554
100,9,15,O,0.0
100,9,15,Y,0.3081
100,9,15,B,0.6919
100,9,16,O,0.0
100,9,16,Y,0.2956
100,9,16,B,0.7044
100,9,17,O,0.0
100,9,17,Y,0.2757
100,9,17,B,0.7243
100,9,18,O,0.0
100,9,18,Y,0.2642
100,9,18,B,0.7358
100,9,19,O,0.0
100,9,19,Y,0.2851
100,9,19,B,0.7149
100,9,20,O,0.0
100,9,20,Y,0.3038
100,9,20,B,0.6962
100,9,21,O,0.0
100,9,21,Y,0.2874
100,9,21,B,0.7126
100,9,22,O,0.0
100,9,22,Y,0.2527
100,9,22,B,0.7473
100,9,23,O,0.0
100,9,23,Y,0.2958
100,9,23,B,0.7042
100,10,0,O,0.1093
100,10,0,Y,0.8907
100,10,0,B,0.0
100,10,1,O,0.142
100,10,1,Y,0.5998
100,10,1,B,0.2582
100,10,2,O,0.295
100,10,2,Y,0.5109
100,10,2,B,0.1941
100,10,3,O,0.1515
100,10,3,Y,0.5925
100,10,3,B,0.256
100,10,4,O,0.1353
100,10,4,Y,0.5756
100,10,4,B,0.2891
100,10,5,O,0.2005
100,10,5,Y,0.497
100,10,5,B,0.3025
100,10,6,O,0.2192
100,10,6,Y,0.4727
100,10,6,B,0.3081
100,10,7,O,0.3858
100,10,7,Y,0.3746
100,10,7,B,0.2396
100,10,8,O,0.1357
