"","Generation","strategy","freq_media"
"568",189,"B",0.833855
"569",189,"O",0
"570",189,"Y",0.166145
"571",190,"B",0.832425
"572",190,"O",0
"573",190,"Y",0.167575
"574",191,"B",0.83151
"575",191,"O",0
"576",191,"Y",0.16849
"577",192,"B",0.832364
"578",192,"O",0
"579",192,"Y",0.167636
"580",193,"B",0.833297
"581",193,"O",0
"582",193,"Y",0.166703
"583",194,"B",0.831141
"584",194,"O",0
"585",194,"Y",0.168859
"586",195,"B",0.834
"587",195,"O",0
"588",195,"Y",0.166
"589",196,"B",0.832564
"590",196,"O",0
"591",196,"Y",0.167436
"592",197,"B",0.832414
"593",197,"O",0
"594",197,"Y",0.167586
"595",198,"B",0.830787
"596",198,"O",0
"597",198,"Y",0.169213
"598",199,"B",0.834124
"599",199,"O",0
"600",199,"Y",0.165876
"601",200,"B",0.830932
"602",200,"O",0
"603",200,"Y",0.169068
