"","Generation","strategy","fit_media"
"647",161,"fit_Y",18.9430910263991
"648",161,"fit_total",20.569558
"649",162,"fit_B",20.8481390665171
"650",162,"fit_O",0
"651",162,"fit_Y",18.8641942389118
"652",162,"fit_total",20.579032
"653",163,"fit_B",20.9288163300515
"654",163,"fit_O",0
"655",163,"fit_Y",18.8819914043757
"656",163,"fit_total",20.652971
"657",164,"fit_B",20.849481766585
"658",164,"fit_O",0
"659",164,"fit_Y",18.8567930455753
"660",164,"fit_total",20.57814
"661",165,"fit_B",20.8531118439633
"662",165,"fit_O",0
"663",165,"fit_Y",18.9452532254754
"664",165,"fit_total",20.595466
"665",166,"fit_B",20.8257967213009
"666",166,"fit_O",0
"667",166,"fit_Y",18.8583582580253
"668",166,"fit_total",20.560149
"669",167,"fit_B",20.768291143943
"670",167,"fit_O",0
"671",167,"fit_Y",18.8892443104101
"672",167,"fit_total",20.512895
"673",168,"fit_B",20.8472375355626
"674",168,"fit_O",0
"675",168,"fit_Y",18.8518293955981
"676",168,"fit_total",20.580448
"677",169,"fit_B",20.6484063861704
"678",169,"fit_O",0
"679",169,"fit_Y",18.8956529127686
"680",169,"fit_total",20.408321
"681",170,"fit_B",20.898220704449
"682",170,"fit_O",0
"683",170,"fit_Y",18.8898587865891
"684",170,"fit_total",20.631842
"685",171,"fit_B",20.6715289150127
"686",171,"fit_O",0
"687",171,"fit_Y",18.7904134313422
"688",171,"fit_total",20.421162
"689",172,"fit_B",20.9030315667084
"690",172,"fit_O",0
"691",172,"fit_Y",18.95755975908
"692",172,"fit_total",20.643449
"693",173,"fit_B",20.7206256897715
"694",173,"fit_O",0
"695",173,"fit_Y",18.8856858817989
"696",173,"fit_total",20.471075
"697",174,"fit_B",20.8849409924923
"698",174,"fit_O",0
"699",174,"fit_Y",18.9319790927603
"700",174,"fit_total",20.619844
"701",175,"fit_B",20.7133797271983
"702",175,"fit_O",0
"703",175,"fit_Y",18.9065289408872
"704",175,"fit_total",20.469263
"705",176,"fit_B",20.9709305585322
"706",176,"fit_O",0
"707",176,"fit_Y",18.9396131218463
"708",176,"fit_total",20.694289
"709",177,"fit_B",20.8132051150043
"710",177,"fit_O",0
"711",177,"fit_Y",18.8733419056227
"712",177,"fit_total",20.551731
"713",178,"fit_B",20.8354213106488
"714",178,"fit_O",0
"715",178,"fit_Y",18.8977946077811
"716",178,"fit_total",20.571133
"717",179,"fit_B",20.9453027016978
"718",179,"fit_O",0
"719",179,"fit_Y",18.9043225624646
"720",179,"fit_total",20.666263
"721",180,"fit_B",20.9141713641865
"722",180,"fit_O",0
"723",180,"fit_Y",18.9334675381974
"724",180,"fit_total",20.642895
"725",181,"fit_B",20.8415351961242
"726",181,"fit_O",0
"727",181,"fit_Y",18.8933723675482
"728",181,"fit_total",20.569893
"729",182,"fit_B",21.0725405114955
"730",182,"fit_O",0
"731",182,"fit_Y",18.8755513029616
"732",182,"fit_total",20.772782
