"","Generation","strategy","freq_media"
"579",192,"Y",0.141961
"580",193,"B",0.85766
"581",193,"O",0
"582",193,"Y",0.14234
"583",194,"B",0.859497
"584",194,"O",0
"585",194,"Y",0.140503
"586",195,"B",0.857798
"587",195,"O",0
"588",195,"Y",0.142202
"589",196,"B",0.860571
"590",196,"O",0
"591",196,"Y",0.139429
"592",197,"B",0.855367
"593",197,"O",0
"594",197,"Y",0.144633
"595",198,"B",0.857949
"596",198,"O",0
"597",198,"Y",0.142051
"598",199,"B",0.856963
"599",199,"O",0
"600",199,"Y",0.143037
"601",200,"B",0.859688
"602",200,"O",0
"603",200,"Y",0.140312
