Generation,O,Y,B,sim
82,0.0,0.1736,0.8264,3
83,0.0,0.116,0.884,3
84,0.0,0.1495,0.8505,3
85,0.0,0.111,0.889,3
86,0.0,0.1698,0.8302,3
87,0.0,0.1135,0.8865,3
88,0.0,0.1534,0.8466,3
89,0.0,0.1082,0.8918,3
90,0.0,0.146,0.854,3
91,0.0,0.1165,0.8835,3
92,0.0,0.1573,0.8427,3
93,0.0,0.1245,0.8755,3
94,0.0,0.1659,0.8341,3
95,0.0,0.125,0.875,3
96,0.0,0.1596,0.8404,3
97,0.0,0.1365,0.8635,3
98,0.0,0.1523,0.8477,3
99,0.0,0.1354,0.8646,3
100,0.0,0.151,0.849,3
101,0.0,0.1358,0.8642,3
102,0.0,0.1586,0.8414,3
103,0.0,0.1284,0.8716,3
104,0.0,0.1461,0.8539,3
105,0.0,0.1661,0.8339,3
106,0.0,0.1533,0.8467,3
107,0.0,0.1497,0.8503,3
108,0.0,0.1311,0.8689,3
109,0.0,0.1389,0.8611,3
110,0.0,0.1497,0.8503,3
111,0.0,0.1514,0.8486,3
112,0.0,0.1407,0.8593,3
113,0.0,0.1288,0.8712,3
114,0.0,0.143,0.857,3
115,0.0,0.1495,0.8505,3
116,0.0,0.1403,0.8597,3
117,0.0,0.1469,0.8531,3
118,0.0,0.1425,0.8575,3
119,0.0,0.1493,0.8507,3
120,0.0,0.1242,0.8758,3
121,0.0,0.1405,0.8595,3
122,0.0,0.1369,0.8631,3
123,0.0,0.1444,0.8556,3
124,0.0,0.127,0.873,3
125,0.0,0.1416,0.8584,3
126,0.0,0.1339,0.8661,3
127,0.0,0.1579,0.8421,3
128,0.0,0.1453,0.8547,3
129,0.0,0.1277,0.8723,3
130,0.0,0.1534,0.8466,3
131,0.0,0.1389,0.8611,3
132,0.0,0.1371,0.8629,3
133,0.0,0.1767,0.8233,3
134,0.0,0.1244,0.8756,3
135,0.0,0.1482,0.8518,3
136,0.0,0.1542,0.8458,3
137,0.0,0.1289,0.8711,3
138,0.0,0.1309,0.8691,3
139,0.0,0.1464,0.8536,3
140,0.0,0.1296,0.8704,3
141,0.0,0.1311,0.8689,3
142,0.0,0.1337,0.8663,3
143,0.0,0.1518,0.8482,3
144,0.0,0.1333,0.8667,3
145,0.0,0.1571,0.8429,3
146,0.0,0.1485,0.8515,3
147,0.0,0.1619,0.8381,3
148,0.0,0.1299,0.8701,3
149,0.0,0.1351,0.8649,3
150,0.0,0.1512,0.8488,3
151,0.0,0.1393,0.8607,3
152,0.0,0.1413,0.8587,3
153,0.0,0.1675,0.8325,3
154,0.0,0.16,0.84,3
155,0.0,0.1098,0.8902,3
156,0.0,0.1811,0.8189,3
157,0.0,0.116,0.884,3
158,0.0,0.1663,0.8337,3
159,0.0,0.1097,0.8903,3
160,0.0,0.1608,0.8392,3
