Generation,O,Y,B,sim
147,0.0733,0.8872,0.0395,3
148,0.0744,0.8864,0.0392,3
149,0.071,0.8897,0.0393,3
150,0.0736,0.8871,0.0393,3
151,0.0754,0.8855,0.0391,3
152,0.0743,0.886,0.0397,3
153,0.0733,0.887,0.0397,3
154,0.0753,0.8863,0.0384,3
155,0.0729,0.8883,0.0388,3
156,0.0735,0.8871,0.0394,3
157,0.0738,0.8867,0.0395,3
158,0.0735,0.8873,0.0392,3
159,0.0732,0.8874,0.0394,3
160,0.0744,0.8865,0.0391,3
161,0.0729,0.8877,0.0394,3
162,0.0748,0.8857,0.0395,3
163,0.0762,0.8849,0.0389,3
164,0.0732,0.8878,0.039,3
165,0.0717,0.8889,0.0394,3
166,0.0746,0.8867,0.0387,3
167,0.0727,0.8879,0.0394,3
168,0.0738,0.8864,0.0398,3
169,0.0736,0.8871,0.0393,3
170,0.0743,0.8866,0.0391,3
171,0.0746,0.8861,0.0393,3
172,0.0759,0.8851,0.039,3
173,0.0722,0.8886,0.0392,3
174,0.073,0.8879,0.0391,3
175,0.0744,0.8866,0.039,3
176,0.0732,0.8875,0.0393,3
177,0.0727,0.8874,0.0399,3
178,0.0748,0.8862,0.039,3
179,0.0733,0.8875,0.0392,3
180,0.0741,0.8864,0.0395,3
181,0.0753,0.8858,0.0389,3
182,0.0743,0.8867,0.039,3
183,0.0732,0.8874,0.0394,3
184,0.0739,0.8871,0.039,3
185,0.0711,0.8896,0.0393,3
186,0.0742,0.8865,0.0393,3
187,0.0753,0.8853,0.0394,3
188,0.0742,0.8862,0.0396,3
189,0.0728,0.8877,0.0395,3
190,0.0754,0.8862,0.0384,3
191,0.0735,0.8877,0.0388,3
192,0.0734,0.8869,0.0397,3
193,0.0737,0.8869,0.0394,3
194,0.073,0.888,0.039,3
195,0.0733,0.8873,0.0394,3
196,0.075,0.8859,0.0391,3
197,0.0728,0.8875,0.0397,3
198,0.0747,0.8859,0.0394,3
199,0.0757,0.8856,0.0387,3
200,0.0733,0.8877,0.039,3
0,0.3358,0.3338,0.3304,4
1,0.5284,0.3575,0.1141,4
2,0.2449,0.7331,0.022,4
3,0.1012,0.8813,0.0175,4
4,0.0728,0.9059,0.0213,4
5,0.0702,0.9073,0.0225,4
6,0.0725,0.9041,0.0234,4
7,0.0757,0.9012,0.0231,4
8,0.0755,0.9006,0.0239,4
9,0.0748,0.9005,0.0247,4
10,0.0772,0.8967,0.0261,4
11,0.0756,0.8965,0.0279,4
12,0.0775,0.8942,0.0283,4
13,0.0736,0.8971,0.0293,4
14,0.0746,0.8943,0.0311,4
15,0.0763,0.892,0.0317,4
16,0.0776,0.8899,0.0325,4
17,0.0716,0.8944,0.034,4
18,0.0754,0.8895,0.0351,4
19,0.0752,0.889,0.0358,4
20,0.0761,0.8875,0.0364,4
21,0.0758,0.8876,0.0366,4
22,0.0759,0.8869,0.0372,4
23,0.0724,0.8897,0.0379,4
24,0.0747,0.886,0.0393,4
25,0.0733,0.8872,0.0395,4
26,0.0745,0.8851,0.0404,4
27,0.0746,0.8845,0.0409,4
28,0.0743,0.8849,0.0408,4
29,0.0718,0.8861,0.0421,4
30,0.0771,0.8802,0.0427,4
31,0.0767,0.8811,0.0422,4
32,0.0749,0.8825,0.0426,4
33,0.0726,0.8839,0.0435,4
34,0.0757,0.8799,0.0444,4
35,0.0749,0.8805,0.0446,4
36,0.0775,0.8775,0.045,4
37,0.0736,0.8814,0.045,4
38,0.0749,0.8796,0.0455,4
39,0.0768,0.8771,0.0461,4
40,0.0791,0.8751,0.0458,4
41,0.0752,0.8791,0.0457,4
42,0.0775,0.8759,0.0466,4
43,0.0762,0.8779,0.0459,4
44,0.0769,0.8772,0.0459,4
45,0.0771,0.8766,0.0463,4
46,0.0795,0.8744,0.0461,4
47,0.076,0.8784,0.0456,4
48,0.0771,0.8766,0.0463,4
49,0.0755,0.8784,0.0461,4
50,0.0777,0.8761,0.0462,4
51,0.079,0.8747,0.0463,4
52,0.0788,0.8753,0.0459,4
53,0.0728,0.8816,0.0456,4
54,0.0781,0.8751,0.0468,4
55,0.0787,0.8754,0.0459,4
56,0.0785,0.876,0.0455,4
57,0.0759,0.8778,0.0463,4
58,0.0765,0.8772,0.0463,4
59,0.0759,0.878,0.0461,4
60,0.0797,0.8738,0.0465,4
61,0.0773,0.877,0.0457,4
62,0.0768,0.8774,0.0458,4
63,0.0761,0.8777,0.0462,4
64,0.0784,0.8755,0.0461,4
65,0.0753,0.8788,0.0459,4
66,0.0796,0.8737,0.0467,4
67,0.0777,0.8764,0.0459,4
68,0.0755,0.8789,0.0456,4
69,0.0758,0.8778,0.0464,4
70,0.0792,0.8745,0.0463,4
71,0.0776,0.8768,0.0456,4
72,0.0787,0.875,0.0463,4
73,0.0742,0.88,0.0458,4
74,0.0764,0.8773,0.0463,4
75,0.0787,0.8748,0.0465,4
76,0.08,0.8741,0.0459,4
77,0.0745,0.8799,0.0456,4
78,0.0767,0.8768,0.0465,4
79,0.0775,0.8765,0.046,4
80,0.0781,0.8762,0.0457,4
81,0.0772,0.8765,0.0463,4
82,0.0782,0.8755,0.0463,4
83,0.0745,0.8797,0.0458,4
84,0.0785,0.8749,0.0466,4
85,0.0769,0.8772,0.0459,4
86,0.0781,0.8761,0.0458,4
87,0.0778,0.876,0.0462,4
88,0.077,0.8772,0.0458,4
89,0.0741,0.8799,0.046,4
90,0.0792,0.8739,0.0469,4
91,0.079,0.8751,0.0459,4
92,0.0772,0.8772,0.0456,4
93,0.0744,0.8795,0.0461,4
94,0.078,0.8756,0.0464,4
95,0.0772,0.877,0.0458,4
96,0.08,0.8737,0.0463,4
97,0.0759,0.8783,0.0458,4
