y,o,prop_B_mantida,prop_O_mantida,prop_Y_mantida
18,15,1.0,0.03,0.03
18,16,1.0,0.01,0.01
18,17,1.0,0.01,0.01
18,18,1.0,0.02,0.02
18,19,1.0,0.04,0.04
18,20,0.98,0.11,0.13
18,21,0.94,0.08,0.14
18,22,0.87,0.14,0.27
18,23,0.9,0.11,0.21
18,24,0.84,0.06,0.22
19,1,1.0,0.0,1.0
19,2,1.0,0.0,1.0
19,3,1.0,0.0,1.0
19,4,1.0,0.0,1.0
19,5,1.0,0.0,1.0
19,6,1.0,0.0,1.0
19,7,1.0,0.0,1.0
19,8,1.0,0.0,1.0
19,9,1.0,0.0,1.0
19,10,1.0,0.0,1.0
19,11,1.0,0.0,1.0
19,12,1.0,0.0,1.0
19,13,1.0,0.0,1.0
19,14,1.0,0.01,1.0
19,15,1.0,0.03,1.0
19,16,1.0,0.12,1.0
19,17,1.0,0.13,1.0
19,18,1.0,0.25,1.0
19,19,1.0,0.25,1.0
19,20,1.0,0.24,1.0
19,21,1.0,0.28,1.0
19,22,0.99,0.31,1.0
19,23,0.97,0.35,1.0
19,24,0.96,0.23,1.0
20,1,1.0,0.0,0.01
20,2,1.0,0.0,0.01
20,3,1.0,0.0,0.01
20,4,1.0,0.0,0.01
20,5,1.0,0.0,0.01
20,6,1.0,0.0,0.01
20,7,1.0,0.0,0.01
20,8,1.0,0.0,0.01
20,9,1.0,0.0,0.01
20,10,1.0,0.0,0.0
20,11,1.0,0.0,0.0
20,12,1.0,0.0,0.0
20,13,1.0,0.02,0.02
20,14,1.0,0.06,0.06
20,15,1.0,0.17,0.17
20,16,1.0,0.28,0.28
20,17,1.0,0.48,0.49
20,18,1.0,0.55,0.55
20,19,1.0,0.57,0.57
20,20,1.0,0.57,0.57
20,21,1.0,0.68,0.69
20,22,1.0,0.55,0.55
20,23,1.0,0.57,0.57
20,24,1.0,0.52,0.52
21,1,1.0,0.0,1.0
21,2,1.0,0.0,1.0
21,3,1.0,0.0,1.0
21,4,1.0,0.0,1.0
21,5,1.0,0.0,1.0
21,6,1.0,0.0,1.0
21,7,1.0,0.0,1.0
21,8,1.0,0.0,1.0
21,9,1.0,0.0,1.0
21,10,1.0,0.0,1.0
21,11,1.0,0.0,1.0
21,12,1.0,0.0,1.0
21,13,1.0,0.0,1.0
21,14,1.0,0.0,1.0
21,15,1.0,0.01,1.0
21,16,1.0,0.21,1.0
21,17,1.0,0.59,1.0
21,18,1.0,0.78,1.0
21,19,1.0,0.92,1.0
21,20,1.0,0.95,1.0
21,21,1.0,0.91,1.0
21,22,1.0,0.92,1.0
21,23,1.0,0.85,1.0
21,24,1.0,0.84,1.0
22,1,1.0,0.0,1.0
22,2,1.0,0.0,1.0
22,3,1.0,0.0,1.0
22,4,1.0,0.0,1.0
22,5,1.0,0.0,1.0
22,6,1.0,0.0,1.0
22,7,1.0,0.0,1.0
22,8,1.0,0.0,1.0
22,9,1.0,0.0,1.0
22,10,1.0,0.0,1.0
22,11,1.0,0.0,1.0
22,12,1.0,0.0,1.0
22,13,1.0,0.0,1.0
22,14,1.0,0.01,1.0
22,15,1.0,0.0,1.0
22,16,1.0,0.21,1.0
22,17,1.0,0.57,1.0
22,18,1.0,0.85,1.0
22,19,1.0,0.97,1.0
22,20,1.0,1.0,1.0
22,21,1.0,0.99,1.0
22,22,1.0,1.0,1.0
22,23,1.0,1.0,1.0
22,24,1.0,0.97,1.0
23,1,1.0,0.0,1.0
23,2,1.0,0.0,1.0
23,3,1.0,0.0,1.0
23,4,1.0,0.0,1.0
23,5,1.0,0.0,1.0
23,6,1.0,0.0,1.0
23,7,1.0,0.0,1.0
23,8,1.0,0.0,1.0
23,9,1.0,0.0,1.0
23,10,1.0,0.0,1.0
23,11,1.0,0.0,1.0
23,12,1.0,0.0,1.0
23,13,1.0,0.0,1.0
23,14,1.0,0.0,1.0
23,15,1.0,0.01,1.0
23,16,1.0,0.25,1.0
23,17,1.0,0.77,1.0
23,18,1.0,0.97,1.0
23,19,1.0,1.0,1.0
23,20,1.0,1.0,1.0
23,21,1.0,1.0,1.0
23,22,1.0,1.0,1.0
23,23,1.0,1.0,1.0
23,24,1.0,1.0,1.0
24,1,1.0,0.0,1.0
24,2,1.0,0.0,1.0
24,3,1.0,0.0,1.0
24,4,1.0,0.0,1.0
24,5,1.0,0.0,1.0
24,6,1.0,0.0,1.0
24,7,1.0,0.0,1.0
24,8,1.0,0.0,1.0
24,9,1.0,0.0,1.0
24,10,1.0,0.0,1.0
24,11,1.0,0.0,1.0
24,12,1.0,0.0,1.0
24,13,1.0,0.0,1.0
24,14,1.0,0.0,1.0
24,15,1.0,0.01,1.0
24,16,1.0,0.21,1.0
24,17,1.0,0.7,1.0
24,18,1.0,1.0,1.0
24,19,1.0,1.0,1.0
24,20,1.0,1.0,1.0
24,21,1.0,1.0,1.0
24,22,1.0,1.0,1.0
24,23,1.0,1.0,1.0
24,24,1.0,1.0,1.0
