t,pop,estrategia,n_vizinhos
3,21,Y,47.84933666097465
3,21,B,38.69590643274854
3,22,O,48.0
3,22,Y,47.92248520710059
3,22,B,46.75
3,23,O,48.0
3,23,Y,47.90511406367511
3,23,B,37.67024128686327
3,24,O,48.0
3,24,Y,47.89169722367732
3,24,B,38.2967032967033
3,25,O,48.0
3,25,Y,47.864918851435704
3,25,B,36.054794520547944
3,26,O,48.0
3,26,Y,47.82163742690059
3,26,B,41.51327433628319
3,27,O,48.0
3,27,Y,47.80738748938579
3,27,B,36.36011904761905
3,28,O,48.0
3,28,Y,47.8632
3,28,B,38.00506329113924
3,29,O,48.0
3,29,Y,47.922681644359464
3,29,B,36.83475783475784
3,30,O,48.0
3,30,Y,47.86054794520548
3,30,B,37.202586206896555
3,31,O,48.0
3,31,Y,47.85871908687381
3,31,B,38.24630541871921
3,32,O,48.0
3,32,Y,47.847612642905176
3,32,B,38.427609427609426
3,33,O,48.0
3,33,Y,47.84947411555798
3,33,B,36.96835443037975
3,34,O,48.0
3,34,Y,47.88016899244655
3,34,B,37.865671641791046
3,35,O,48.0
3,35,Y,47.861050626020685
3,35,B,41.474074074074075
3,36,O,48.0
3,36,Y,47.87245953511014
3,36,B,36.95161290322581
3,37,O,48.0
3,37,Y,47.885926298578795
3,37,B,36.83647798742138
3,38,O,48.0
3,38,Y,47.898151738399896
3,38,B,40.680851063829785
3,39,O,48.0
3,39,Y,47.885860524632115
3,39,B,37.09090909090909
3,40,O,48.0
3,40,Y,47.88165905631659
3,40,B,38.264044943820224
3,41,O,48.0
3,41,Y,47.87251938493889
3,41,B,34.347457627118644
3,42,O,48.0
3,42,Y,47.85564166557205
3,42,B,33.8875
3,43,O,48.0
3,43,Y,47.85488958990536
3,43,B,35.906976744186046
3,44,O,48.0
3,44,Y,47.92442882249561
3,44,B,38.129629629629626
3,45,O,48.0
3,45,Y,47.84709310392674
3,45,B,34.608695652173914
3,46,O,48.0
3,46,Y,47.89071856287425
3,46,B,36.08461538461538
3,47,O,48.0
3,47,Y,47.87342931937173
3,47,B,37.87984496124031
3,48,O,48.0
3,48,Y,47.866234243054706
3,48,B,37.02142857142857
3,49,O,48.0
3,49,Y,47.8943973694195
3,49,B,37.90047393364929
3,50,O,48.0
3,50,Y,47.87951030927835
3,50,B,36.33969465648855
3,51,O,48.0
3,51,Y,47.841158279448976
3,51,B,37.97076023391813
3,52,O,48.0
3,52,Y,47.86760204081633
3,52,B,37.43108504398827
3,53,O,48.0
3,53,Y,47.87400297417872
3,53,B,33.73626373626374
3,54,O,48.0
3,54,Y,47.88861778699524
3,54,B,40.773809523809526
3,55,O,48.0
3,55,Y,47.9161433804291
3,55,B,35.36779661016949
3,56,O,48.0
3,56,Y,47.850444292549554
3,56,B,36.54545454545455
3,57,O,48.0
3,57,Y,47.83496465470364
3,57,B,34.29959514170041
3,58,O,48.0
3,58,Y,47.857220118983236
3,58,B,37.12217194570136
3,59,O,48.0
3,59,Y,47.920901889092015
